RefSeq_accession_number,gene_symbol,gene_name,AO-A12D.01TCGA,C8-A131.01TCGA,AO-A12B.01TCGA,BH-A18Q.02TCGA,C8-A130.02TCGA,C8-A138.03TCGA,E2-A154.03TCGA,C8-A12L.04TCGA,A2-A0EX.04TCGA,AO-A12D.05TCGA,AN-A04A.05TCGA,BH-A0AV.05TCGA,C8-A12T.06TCGA,A8-A06Z.07TCGA,A2-A0CM.07TCGA,BH-A18U.08TCGA,A2-A0EQ.08TCGA,AR-A0U4.09TCGA,AO-A0J9.10TCGA,AR-A1AP.11TCGA,AN-A0FK.11TCGA,AO-A0J6.11TCGA,A7-A13F.12TCGA,BH-A0E1.12TCGA,A7-A0CE.13TCGA,A2-A0YC.13TCGA,AO-A0JC.14TCGA,A8-A08Z.14TCGA,AR-A0TX.14TCGA,A8-A076.15TCGA,AO-A126.15TCGA,BH-A0C1.16TCGA,A2-A0EY.16TCGA,AR-A1AW.17TCGA,AR-A1AV.17TCGA,C8-A135.17TCGA,A2-A0EV.18TCGA,AN-A0AM.18TCGA,D8-A142.18TCGA,AN-A0FL.19TCGA,BH-A0DG.19TCGA,AR-A0TV.20TCGA,C8-A12Z.20TCGA,AO-A0JJ.20TCGA,AO-A0JE.21TCGA,AN-A0AJ.21TCGA,A7-A0CJ.22TCGA,AO-A12F.22TCGA,A8-A079.23TCGA,A2-A0T3.24TCGA,A2-A0YD.24TCGA,AR-A0TR.25TCGA,AO-A03O.25TCGA,AO-A12E.26TCGA,A8-A06N.26TCGA,A2-A0YG.27TCGA,BH-A18N.27TCGA,AN-A0AL.28TCGA,A2-A0T6.29TCGA,E2-A158.29TCGA,E2-A15A.29TCGA,AO-A0JM.30TCGA,C8-A12V.30TCGA,A2-A0D2.31TCGA,C8-A12U.31TCGA,AR-A1AS.31TCGA,A8-A09G.32TCGA,C8-A131.32TCGA,C8-A134.32TCGA,A2-A0YF.33TCGA,BH-A0DD.33TCGA,BH-A0E9.33TCGA,AR-A0TT.34TCGA,AO-A12B.34TCGA,A2-A0SW.35TCGA,AO-A0JL.35TCGA,BH-A0BV.35TCGA,A2-A0YM.36TCGA,BH-A0C7.36TCGA,A2-A0SX.36TCGA,263d3f-I.CPTAC,blcdb9-I.CPTAC,c4155b-C.CPTAC
NP_002245,KIF3C,kinesin-like protein KIF3C,-0.035378873,-0.16690334,-0.67645689,-1.755016972,0.358706324,1.967824321,0.241700621,0.497370761,0.457247245,0.199133353,-2.076260522,-2.824334942,-3.422124253,0.920959165,0.125028924,0.973365225,-0.227620396,-0.168442021,0.732585259,0.895503204,-0.481659387,-1.458419058,-1.364394347,0.670905587,-0.274132081,1.126675489,0.191460838,-0.208533816,-2.653305078,0.679201126,0.334224296,0.044843089,2.203364108,0.984342987,-1.488059968,-0.662980992,-1.182564994,-1.414767204,-0.007230024,-0.203817524,-0.425802158,0.603594372,-2.931248451,-0.447237923,-1.469339705,-3.739882414,1.222786424,0.51236071,-1.002203944,0.135645716,-2.472284298,-0.322233951,0.666528578,1.786880161,1.26984585,0.34783297,-0.268327569,-0.222476304,-0.710251417,-0.441171019,1.271994011,0.889274013,0.044358183,-1.356131393,0.967936111,0.717188124,-2.138436257,-0.338260952,-0.629796301,-0.42307141,0.433870554,0.674036751,0.070736968,-0.130263584,-0.960546467,-0.282504758,0.481178176,-0.334687973,0.204198722,-1.14336246,-0.415534088,-1.466801477,-0.918370097
NP_001092763,NA,chromosome-associated kinesin KIF4B,-1.185937919,-1.551278617,-1.5771859,-0.908635361,0.539099112,-0.050916499,-0.00291945,-0.325098668,-3.182057681,-0.625459373,-1.802466414,-0.239902547,-0.459914451,0.713078487,1.822193864,-0.181354975,-2.344003551,0.153082737,-2.35525365,-2.455703489,-2.421957461,-3.335794254,1.226955959,-0.127644078,1.638577392,-1.067752633,-2.23671955,-2.515740669,-1.606127115,0.913119036,-2.332810169,1.505842216,-1.469195029,-2.681678338,-1.038266581,0.497480961,-1.29738963,-0.308419761,0.274719728,-0.817422629,0.37990686,0.676431264,-4.072034917,-1.276126636,-1.037381057,0.659568119,-1.0891193,0.669968118,1.438086673,0.53736144,-0.350031258,-2.442598471,0.492242895,0.169902357,-2.717278983,2.376570076,-1.616952588,1.842922141,-3.231128342,-0.716792687,-0.839518424,1.894382872,0.559105042,3.191076971,3.544800582,-0.65035397,-0.37873608,-0.657242165,1.595369757,-0.532851448,0.616875831,-3.324246476,-1.375505003,-0.992453253,0.235861189,0.150777724,-0.457038174,-3.30630093,-0.27776207,-1.053986145,-1.069978622,-0.323887775,-0.787425175
NP_878905,KIF9,kinesin-like protein KIF9 isoform 2,-1.95170735,0.18121442,-0.945289856,-0.135852151,-0.562936827,1.854453007,-0.439472193,0.634448999,0.38221003,,,,-2.172641209,2.334127813,-1.127640436,-0.342011698,-0.575885979,-0.102334127,0.040136378,0.742423392,0.382868585,-0.459034367,-4.686947374,-3.13088521,-2.145809833,-5.294789538,-1.401350687,-0.853405297,1.9569979,0.286938786,-0.918590164,0.415669203,0.512821013,-0.647602608,0.367337753,3.451695315,0.34096189,-1.838028915,-0.007230024,-1.892367869,-3.747009679,0.878133426,-2.368668825,-0.525051965,,,0.938868177,-0.524400522,-0.276712139,0.188177772,-0.122435877,-1.023494172,-0.384631953,-0.014585043,-1.38729812,1.541406634,-2.382105124,0.105207103,-0.04285876,-0.866928067,0.095452124,-5.657608517,-4.632802126,1.966956505,0.967936111,0.519300896,-0.496406,0.592100919,-0.004630599,-1.494373167,1.987069187,-0.044404766,,,0.145809,1.287359305,0.341937587,-1.52012308,0.204198722,-2.269504029,0.271362242,0.849545723,0.070557229
NP_005541,KIFC3,kinesin-like protein KIFC3 isoform 1,-1.547868744,-1.251735429,0.215957698,-2.173189704,-0.592455647,3.006451844,-3.901787048,0.302719663,0.089564892,,,,-3.405124484,0.780272242,-1.127640436,-0.931086351,-1.211183635,-1.114986871,0.652067948,0.113554976,-0.098294042,-3.866540926,-0.215361498,0.219551428,-2.953819115,0.881973072,-0.989900352,-2.157478735,-3.232652885,0.322926156,4.161841482,-0.178210213,-0.070124882,-1.24103737,4.50650785,0.497480961,-3.291417462,-1.414767204,-1.532650478,-1.796918186,-3.531529361,0.878133426,1.00993438,-0.525051965,-1.24428562,-4.679853122,-2.258592079,-0.118068923,-2.011297092,-1.832761331,-4.65956459,-1.023494172,0.110992961,-0.142098393,1.154317851,0.249777343,-0.422056846,-0.672627247,-1.540169746,-0.866928067,0.976740154,-7.066128414,-0.01119004,-2.364034929,2.527231941,1.293181306,0.95039916,0.151603054,-0.848780897,-1.494373167,1.987069187,-0.45438498,-2.309154883,-6.022844633,-0.960546467,2.791289078,0.998357507,-1.52012308,0.204198722,-2.269504029,-0.956397339,-1.16686556,-1.780261304
NP_065867,KIF17,kinesin-like protein KIF17 isoform a,-1.547868744,-1.251735429,0.215957698,-0.94208918,-0.169352563,1.916624372,0.753521078,0.497370761,0.037038842,,,,-2.172641209,1.857472117,-1.190090228,0.96332418,-1.211183635,-1.114986871,0.305843507,0.742423392,0.382868585,-0.459034367,-1.207708049,0.918282385,-0.839107321,-0.156038791,-1.401350687,-0.853405297,1.9569979,0.304932471,-1.302889078,-2.525846215,2.286642093,-0.026838614,1.521271978,0.963035019,0.427780517,-1.804503235,-0.130131198,-0.28790415,-0.425802158,0.878133426,1.00993438,-0.220562234,,,0.986187885,-0.420970661,-0.761472573,-0.068302267,-0.084010682,-0.727353876,0.56032324,1.53999261,0.179374252,1.554931548,-0.268327569,-1.748355603,-0.00827883,-0.866928067,0.095452124,,,,,,0.95039916,0.151603054,-0.848780897,-1.494373167,1.987069187,-0.044404766,,,-0.960546467,2.791289078,0.998357507,1.144239772,0.068089425,0.673955945,3.3083094,0.531718892,3.993041701
NP_659464,KIF6,kinesin-like protein KIF6,2.818159953,0.233836872,-0.831659427,-0.436936519,-1.36322483,1.591138987,0.655673049,-0.714400864,-0.368162119,,,,-1.870895304,-0.345223145,2.722205574,-9.991456149,-2.416718343,0.639877231,1.843724163,-0.77596285,-1.181887926,-4.064159368,1.166691999,-1.733423296,1.124102732,-0.594135053,0.178992646,3.632034112,0.934299423,1.686847506,-1.095367665,-0.802759458,-0.678054172,-0.50705227,-0.205613347,-4.650999211,-4.067183908,-0.05278645,-3.278570097,-1.058319448,0.927976367,-1.127682523,-1.352900054,-0.761877312,-0.318659945,1.347587916,-1.01137978,-0.682007931,1.02917311,-0.72649803,-1.094888871,1.542265353,1.810278379,,,2.782317497,-0.886738523,-0.838123917,,,,-3.110648995,0.825736508,-0.627646658,0.931332922,-1.261684157,-2.782946504,-0.330666161,-0.435535772,-0.351146557,0.011550684,-3.129017803,-0.584648634,-5.094991513,-1.465481957,-2.313908855,-1.206285154,,,,,,
NP_078980,KIF16B,kinesin-like protein KIF16B isoform 2,-0.244917772,-1.008862573,2.737998925,-2.169844323,-1.812566865,1.953195764,0.832552178,-0.922759786,-0.476966081,-0.548497385,1.624908027,-1.677197848,-2.771883077,3.21184623,-2.281124832,-1.178765466,-1.635991104,-2.034487582,-0.422838165,-1.218653117,-0.196091324,-0.732877065,0.612263561,0.362769575,-2.556127047,0.033408241,0.082364158,-1.609337977,-1.86724162,4.115995028,0.941416581,-2.76841668,-0.886249135,-2.017968407,-0.010167411,-1.576973151,-3.112179006,-1.259710933,-2.16884479,-0.501529631,1.466677164,0.682034102,-2.71871837,-2.105015349,-2.794254887,-2.533425164,-1.193898653,-2.612698681,-2.496057525,-1.421775244,-1.094888871,-0.88134683,-1.77619421,2.391890312,0.030033181,0.902354446,-1.134801674,-2.148857545,-1.768397287,-2.49600898,-2.834718734,1.347384853,-1.311018439,-1.602286052,0.825183676,1.130631083,-1.528692123,-2.290122184,-2.823174272,0.193968118,0.569951401,0.978593481,-0.921494865,3.067261016,-0.040727678,-1.431645252,0.25242578,-0.859764645,-0.010006074,-1.923915611,-0.418238404,-0.181812867,-0.603711403
NP_055889,KIF1B,kinesin-like protein KIF1B isoform b,0.410367512,0.44432668,0.191014433,-0.045526841,0.634215309,0.150226155,-0.296463536,0.62896587,0.194616993,0.441013886,0.592407353,0.303300606,-0.36641572,1.191833987,0.161764096,-0.987985607,-0.694525902,-0.114353744,-0.487252015,1.222349289,-0.524690191,0.097120391,-0.528734093,-0.136323966,0.634878362,0.499132195,-0.04543481,-0.169125004,-0.251595621,0.103403195,-0.061603585,0.449127199,0.700196479,-0.003413558,1.242828453,-0.204273318,-0.115536055,1.284050044,0.444612527,0.427968473,-0.074475551,0.936963224,-0.024587046,-0.738194777,0.106038894,0.160511506,0.479191015,-0.706634088,-0.41191743,0.061482813,-0.290915575,-0.573360922,0.475903612,0.688094908,0.137107911,0.124671889,0.332614149,-0.162897502,-0.222674398,0.002512641,0.073084408,0.195270278,0.081390331,0.007698475,-0.437626328,-0.021355281,-0.750466056,-0.178770346,-0.160039022,-0.336004482,-0.544503811,1.095730685,-0.372289054,0.152374751,-0.095402221,-0.182033457,0.116500443,0.474709692,0.38270272,-0.321100362,0.3308572,-0.263900591,0.369580709
NP_071396,KIF13A,kinesin-like protein KIF13A isoform a,-0.263966763,-0.656696932,1.180430607,-0.948779943,-1.274668371,0.252626052,0.000843935,-1.040647071,0.584810511,-0.317611422,0.331808142,-0.604287271,-0.158168546,1.233830084,-1.050496575,-0.813940823,-0.966249599,-1.048878977,-1.171649166,-1.346909176,0.797529061,0.986403378,-0.07474559,0.228231316,-1.416707707,2.109431968,1.456982323,-1.039701502,-0.417512129,0.186174148,2.15580115,-2.135502936,0.995833326,0.531458563,0.493172808,-1.436622295,-0.891302501,-0.371280411,-1.135029033,-0.596979314,-0.172847001,1.516856941,-2.996882741,-0.609632446,-0.474745843,-0.658328957,1.023367655,-1.098189993,-0.082148428,-1.227097624,-0.007160294,0.277154008,-0.972846136,1.070634959,0.235729373,-0.274313076,2.076043901,-0.761995449,0.614159917,-1.761017867,-1.058722046,0.003820971,-1.529508113,-0.547812715,0.806882081,0.155329744,-0.442919673,-0.725595282,-1.406838416,-0.373859668,0.218018176,0.068827864,-1.415780096,1.357156341,-0.921952672,-0.923009295,-0.765356621,0.74985904,-0.538824166,-0.839482989,0.382239208,0.099179729,0.504434435
NP_001099038,KIF13A,kinesin-like protein KIF13A isoform d,-0.263966763,-0.656696932,1.180430607,-0.975542998,-1.291067715,0.25994033,-0.017972993,-1.059838024,0.562299346,-0.317611422,0.2988209,-0.614409069,-0.230417566,1.233830084,-1.050496575,-0.813940823,-0.966249599,-1.145035914,-1.159571569,-1.322085422,0.554991802,0.960995293,-0.054657603,0.124072664,-1.419863993,2.117325595,1.503738043,-1.05044936,-0.564389038,0.186174148,2.15580115,-2.135502936,0.995833326,0.582212852,0.455690026,-1.450315061,-0.927710313,-0.279084791,-1.232627024,-0.665157659,-0.257165386,1.516856941,-2.996882741,-0.616398885,-0.536454221,-1.225218508,1.070687363,-1.112965687,-0.075553048,-1.295080285,-0.01898343,0.277154008,-0.972846136,1.070634959,0.235729373,-0.274313076,2.076043901,-0.761995449,0.603785938,-1.660180671,-1.022933699,-0.026947667,-1.48877275,-0.564444787,0.806882081,0.155329744,-0.445593989,-0.816732772,-1.505734685,-0.351146557,0.14528531,-0.06002306,-1.382827747,1.354301409,-0.921952672,-0.923009295,-0.765356621,0.74985904,-0.538824166,-0.839482989,0.382239208,0.099179729,0.504434435
NP_001186795,NA,kinesin-like protein KIF16B isoform 1,-0.195390396,-1.097915953,2.693655343,-2.193261996,-1.828966209,1.938567207,0.715887221,-0.983074211,-0.525740271,-0.548497385,1.624908027,-1.764920096,-2.771883077,3.21604584,-2.310512969,-1.249052782,-1.735495556,-2.034487582,-0.495303746,-1.313810838,-0.211738889,-0.732877065,0.636369145,0.362769575,-2.669753352,0.025514615,0.085481206,-1.609337977,-1.86724162,4.115995028,0.918358646,-2.76841668,-0.886249135,-2.029680935,-0.069068926,-1.689938474,-3.4090427,-1.268092353,-2.259213301,-0.537891415,1.410464907,0.698842615,-3.03438805,-2.084716034,-2.794254887,-2.533425164,-1.119539112,-2.612698681,-2.446592175,-1.50520851,-1.112623576,-0.966635235,-1.759854927,2.296933562,0.030033181,0.922641817,-1.057937036,-2.21174628,-1.764939294,-2.585642043,-3.004713379,1.497809308,-1.366566661,-1.618918123,0.836164632,1.342653113,-1.277306383,-2.354677905,-3.056286907,0.250750897,0.504257199,0.978593481,-1.016690539,2.884545325,0.084702157,-1.431645252,0.461286664,-0.745119084,-0.021162574,-1.834539296,-0.610244858,-0.228118763,-0.61152901
NP_004312,KIF1A,kinesin-like protein KIF1A isoform 2,0.410367512,0.44432668,-0.366051816,-1.641273989,2.864526138,-0.061887916,-0.559900536,0.500112326,0.776155409,-0.057406606,0.655083113,0.434883979,-0.268667047,0.158730013,2.083013584,-1.546937124,1.119516802,-0.504991301,-0.414786434,0.382478969,-0.246945911,0.136644079,-1.284042399,0.99206143,-0.179443493,0.897760325,0.366015525,-0.51305646,-0.966940566,0.236556467,-0.830201414,-0.231185372,0.312953849,-0.366501932,0.910838096,0.295512657,-2.075956677,0.827262652,0.101212188,0.389334077,-0.233743613,0.211395723,-1.465415979,-0.619782104,-0.96841287,-1.6152579,-0.19680481,0.428631774,-0.662541872,-1.001518794,-0.518510957,-0.049784879,0.386037556,-0.228915994,-0.933639394,-0.578623642,0.210329497,-0.434312042,-0.654923528,1.960995059,-1.36292299,-0.242328137,0.233222138,1.058845398,1.718301475,-0.943651112,-1.435091049,-1.120524403,-0.375491608,-0.298149297,-0.424846514,1.060589524,-0.701812541,-0.841141821,-0.899439625,0.323462771,-0.808454899,0.779666886,0.38270272,0.462431999,0.463368696,0.68326546,-0.177651804
NP_036442,NA,chromosome-associated kinesin KIF4A,-0.862105075,-0.146663935,-1.582728848,-1.196338201,0.539099112,-0.050916499,-0.334097393,-0.281233631,-1.943943634,-0.544832529,-1.136124126,-0.573921878,-0.289916758,0.713078487,2.07566655,-0.234907216,-2.374620306,-0.264598959,-1.9164343,-2.2902118,-2.253746136,-0.955903592,1.315343101,0.223891372,1.714328263,-1.012497249,-1.887610174,-2.211218025,-1.753004024,0.729583445,-1.810163645,0.750249156,-2.106271614,-2.166327097,0.972416952,-0.858102914,-1.868712211,-0.513764551,0.151818554,-0.801514349,0.609440243,0.292636871,-4.012651512,-1.181396497,-0.707059738,0.678948958,-1.078979363,0.443407468,2.133899268,-0.210447831,-1.396378857,-2.312296741,0.704653572,0.340824508,-1.330942999,2.014778626,-1.609964893,1.485449333,-3.282998238,-0.775054178,0.117819841,1.966176362,-0.044518973,2.588995981,2.702927246,-0.696292076,-0.729071525,-0.444588023,1.779034257,-0.222438925,0.926577069,-3.324246476,-1.576880467,-1.783269605,0.834065017,0.179035277,-0.718943092,-1.004218053,-0.27106817,-0.565395623,-1.069978622,-0.228118763,-0.498173704
NP_904325,KIF1B,kinesin-like protein KIF1B isoform alpha,1.157087953,1.197232533,-0.305079391,-0.236213607,0.952362589,0.219711799,-0.774413521,0.62348274,0.22838374,0.499651591,0.592407353,0.458501507,-0.795659895,1.067945503,0.679730019,-1.024802773,-0.216139113,-0.06928018,-0.491277881,0.585206288,-0.571632887,0.074535426,-0.926476233,-0.257842393,0.170904282,0.54254714,-0.556630681,-0.437821454,-1.024059364,0.222161519,-0.57656413,0.382211208,0.795966162,-0.241568298,1.510562612,0.1962401,-0.356387732,0.948793243,0.708488577,0.46887548,-0.205637484,0.519551804,-0.093346778,-0.738194777,0.087889371,-1.217950693,0.519750765,-0.007251214,-0.589992691,0.064572934,-0.338208122,-0.578099167,0.712823213,0.582285958,-0.288373255,-0.216832191,-0.25435218,0.323662708,-0.098186649,0.715095489,-0.325060945,0.202107753,0.670201486,0.563209665,-0.042311892,0.420357282,-1.020572011,0.037681192,0.55342692,-0.351146557,-0.664161107,1.060589524,-0.474807472,-0.624166938,-0.269074301,0.361139508,-0.079099432,0.869090424,0.534431117,0.16749016,0.620219039,0.564343501,0.918767623
NP_036565,SF3B1,splicing factor 3B subunit 1 isoform 1,-0.168721809,0.096208921,-0.695857207,-0.256285898,0.883485343,0.812168344,-0.364204479,0.409640689,0.123331639,-0.090390315,0.942072118,-0.425468842,-0.872158857,0.372910105,0.301357749,-0.285112442,0.120645186,-0.117358649,0.217274464,-0.097446927,-0.497306952,-1.430187852,-0.010464032,-1.173570542,-0.005847749,-0.01790033,0.475112205,-0.154794526,-1.568047916,0.2689451,0.645506417,-0.036013733,0.41705133,0.820367592,0.4797861,-0.591093969,-1.246978814,-0.04440503,-0.220499708,-0.019735993,0.239376218,0.611998629,-0.918463564,-0.274693742,-0.663500883,0.194427974,0.871268594,0.911304462,-0.049171528,-0.587442587,-1.177650828,0.194234725,0.579385737,-0.049854693,-0.189751792,-0.007196023,-0.149536764,1.4920692,-0.305666231,0.992957983,0.287814486,-0.016691454,0.151751412,0.210609748,-0.331477081,0.367351774,-0.53384643,0.219956171,0.606407065,-0.188369258,-0.467078501,-1.227490526,0.422228688,-0.858271417,-0.545663167,-0.995223042,-0.801824395,-1.270195756,-2.230149538,-0.705418517,-1.600024609,-1.042681567,-1.342475294
NP_005886,GOLGA3,Golgin subfamily A member 3 isoform 1,0.878972687,0.019299183,-0.216392227,-0.564061029,0.112716159,1.53262476,-0.198615507,0.204023332,0.337187701,0.87346696,-0.064038762,-0.381607718,0.611071015,-0.072248518,0.580545055,-0.121108703,0.304345713,-0.625187473,1.026473448,0.444538353,0.449370737,-0.354578905,-0.098851174,1.026780981,-0.703387012,0.061035933,0.135353974,-0.695770046,-0.958780738,0.902322825,0.192033698,0.148005241,0.950030434,0.515841859,-0.427832699,-0.995030578,-0.22475949,-0.05278645,0.02891738,-1.301488879,-0.215006194,0.499941872,-1.068484798,-0.203646138,0.106038894,0.221076629,-1.028279676,0.522211173,0.659831828,-0.232078677,-0.935276526,0.777038828,0.127332244,1.019087009,-0.319368571,0.185534002,-0.698070775,0.323662708,0.254528641,-0.05574885,-0.732153385,0.5063754,-0.055628617,-0.534507058,0.353002544,0.112925338,0.276471433,0.337675428,0.768879507,0.29617712,-0.319266547,-0.169351117,0.176916758,-0.472855506,-0.127563718,-0.163195089,0.560744227,0.073450226,-0.24206127,0.054280161,0.787886647,-0.115511243,-0.033026068
NP_003161,SUPT6H,transcription elongation factor SPT6,1.130419366,-0.721463027,0.343445496,-0.236213607,0.601416621,-1.261429563,-0.311517079,0.182090813,-0.225591411,0.785510402,-0.252066041,-0.607661204,2.850790621,-0.244432514,0.132375959,-0.348705728,-0.074536624,-0.829520964,-0.265829407,-0.742864513,-0.344743192,-0.687707135,0.318978953,-0.622397675,0.675910083,0.088663625,-0.18570197,0.146145498,-0.284234934,-0.605548007,-0.707225761,0.451915365,-0.79880725,0.429949986,-0.320739035,0.114083502,0.338161289,0.844025492,-0.267491334,-0.383353833,-0.486698769,0.287034034,-0.959094315,-0.741577997,2.607043169,0.523902243,1.063927405,0.913767077,0.544412677,0.457018295,-0.187463129,-0.170610119,0.557600026,0.251293857,0.447061078,0.084097146,-0.104116751,-0.765305382,-0.558099723,-0.21260671,-0.11480441,-0.146603484,-0.370401876,-0.414756143,-0.635283546,-0.664488772,-0.15676782,-0.535725512,-0.202423137,-0.029377478,0.424485668,0.05320957,1.128873499,0.44928775,-0.838332782,-0.599617298,-0.616170276,-0.621301877,-0.637001364,-0.24959931,-0.786025415,-0.96796069,-0.873418855
NP_003237,THBS1,thrombospondin-1 precursor,3.431537457,-1.790103592,-2.638660394,-1.293354275,-0.566216696,2.71753785,-0.367967864,-3.713672714,-0.330643512,4.017913887,0.104196172,-2.088817628,-5.687343513,-1.43502185,-3.475017917,-2.741821504,-7.5603331,-5.859730737,-4.376238177,-0.991102045,7.338211278,1.522796292,-1.593397397,-2.900868187,-2.470907318,1.754218783,-2.975459924,2.600239743,-2.631545535,4.587429584,-1.060780762,-0.713538137,0.213020267,-6.421879007,-0.837465962,-4.688654319,-3.201798234,-0.957979812,-1.236241764,1.164294599,0.023895899,-2.234242997,-3.559462368,-4.872488686,-4.990347174,-4.347956248,1.827802688,0.495122399,3.222136976,-0.327872427,-2.472284298,-4.010957479,2.273224727,-1.647841147,5.699358384,-3.533817359,3.309371962,-0.19930677,0.102376947,-0.611473838,-2.09658409,0.906367701,-3.540353756,2.828497811,-0.269251661,1.2543106,-5.203202827,-3.102764798,1.153868555,-5.007334407,-3.038537265,-4.804079819,2.835072887,-3.516213741,-1.333619823,2.643721856,-2.323525119,-1.350447649,-2.169904439,-4.3043048,-3.566062528,-1.717274277,-1.993291104
NP_003238,THBS2,thrombospondin-2 precursor,3.797278081,-0.842899455,-3.905223956,-1.353571149,0.178313537,3.200280219,0.964270678,-3.472415015,2.865941846,3.306931715,0.816720599,-0.162302097,-1.331152628,-2.006168763,-3.265627437,-1.687511757,-6.144308205,-5.06944091,-2.113701714,0.105280391,6.489330871,1.107797564,-3.204453944,-3.573559481,-3.670296096,4.126253498,-3.648742291,3.520972913,-1.29605364,3.936058174,-2.117602777,-1.996094623,0.321281647,-6.050982281,1.291020601,-1.78921103,-0.474012969,-0.03602361,0.303637651,-2.03099717,3.424737452,-2.760909755,-0.021461603,-5.799490757,-1.335033235,-2.993720099,1.699363481,-0.420970661,2.173471549,2.15967494,0.782034082,-5.119706748,-0.719587251,-3.3000886,3.724111383,-2.26247544,1.342335989,-1.185666924,3.553454,-1.722923815,-1.787909603,2.475568266,-3.703295208,2.549079009,-1.429572736,2.508774278,-5.018674997,-1.086347844,-1.399774397,-4.208589987,-3.554705995,-3.457001974,0.477149269,-4.247076507,-1.35291672,0.574641021,-2.552277515,-2.409772638,-0.322388069,-3.613127964,-3.647192016,-1.737270005,-1.791987715
NP_002102,HTT,huntingtin,0.16654043,0.169070777,0.254758332,-0.420209609,0.230791439,0.344054531,-0.168508422,0.108068565,-0.139298614,0.1698145,-0.433495872,-0.334372661,0.007579204,0.316215375,-0.561918789,-0.619813949,-0.445764772,-0.919668093,0.313895238,1.040308431,-1.264037643,0.320146918,1.130533622,0.458248339,-1.088453936,0.85434538,0.169641502,-0.280186203,-0.885342284,0.506461747,0.069058045,-0.702385472,0.5836073,0.617350437,0.640426595,-0.437050347,-0.375991938,0.148367631,-5.43E-07,0.216615603,0.393959925,0.796892278,-0.980972411,-0.579183473,-0.485635557,1.039917091,-0.210324727,-0.440671587,0.738976388,-0.769759723,-0.193374697,-1.350433059,0.854430331,0.433068208,0.638668491,0.395170169,-0.638675372,0.710924916,-0.357536127,-0.378427876,-0.266904883,0.246551342,0.19618999,-0.205192041,1.678037968,0.010448024,-0.972434316,0.337675428,0.129585767,0.080402561,0.433870554,-0.509049009,0.385614967,0.480692009,-0.999140263,-0.844516092,-0.539919477,0.169752498,-1.085492657,-0.66668878,-0.177554257,-0.441757328,-0.122928552
NP_006608,NES,nestin,-2.972733258,-1.219352381,-2.153652466,-1.453932604,-0.913882796,-2.629199611,-1.568487907,-2.696552187,-0.443199334,-2.333282529,0.552822663,-0.573921878,-0.498163932,-0.855475718,-1.68234153,-2.453978208,-2.458816381,-3.020096188,-1.002562811,-1.764775689,-0.58336856,1.020280826,-0.468470132,1.556254128,-0.075286047,-0.570454174,-1.569671279,-1.802799421,0.414790356,-2.332941801,-3.082193052,-1.215408066,-1.923060047,-4.477599327,-1.099845438,0.411901171,-0.261167301,-1.557251344,3.63281357,1.66654174,-1.13782408,-1.819632997,-2.162389628,-0.196879699,-1.305993998,-0.912702473,-0.31510408,5.597662239,-1.74088651,-0.009589969,-0.793398885,-3.603468432,-2.315390545,-1.485058146,-1.415475681,-0.595529784,-1.002035481,-1.758285403,-1.329232171,-2.292093763,-0.177434017,-1.582473282,-0.548156187,-0.364859928,-1.231915518,-3.095674717,-0.937668203,-0.94964161,2.594928478,-0.328433445,-1.539301727,0.892692865,-1.283970701,-0.527099227,-1.565182595,1.858789824,-0.367526367,1.451489877,-0.088101573,-0.541561939,0.401169422,-0.768003412,1.006715705
NP_056986,NA,E3 ubiquitin-protein ligase UBR5,0.570379035,0.335033895,-0.601627096,-0.162615206,1.155714459,0.731711283,-0.00291945,0.683797165,-0.037998373,0.437349029,0.780434632,-0.472703899,-0.73191076,0.694180244,-0.514163066,0.143305487,0.174224507,0.333376994,-0.801269531,-0.519450733,0.265511847,-0.227538478,-0.420258964,-0.90015408,0.170904282,-0.467837032,-0.687546697,-0.104637856,-0.983260223,0.092606984,0.733895167,0.173098738,0.092267189,-0.01122191,0.718069501,-0.471282263,-0.488015973,-0.01926077,0.737406501,-0.128821345,-1.526625525,1.732566198,0.091054322,-0.998702659,-0.972042774,0.216231419,0.333851913,0.997496013,1.105019981,-0.130104686,-1.088977303,0.466683798,1.001483877,0.172615407,-0.124943403,0.790773905,0.385021857,-0.136418035,-0.392116057,0.529106884,-0.096910237,-0.201303286,-0.166725062,0.233894648,0.096780224,-0.148568499,-0.103281493,0.185779612,0.874839795,-0.5025673,0.656761597,-0.954170384,0.319710269,-0.644151466,-0.433097931,0.54324374,-0.304536577,-0.499777582,-1.114499556,-0.633917465,-0.407421139,-0.308101674,-0.23823826
